x,y,z,vx,vy,vz,t
68.3724,-14.9008,59.7986,0.308011,-0.919945,0.242548,50
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-11.108,-23.0933,29.8802,-0.689734,-0.581659,0.431207,22
-13.4815,-25.8097,31.5824,-0.499653,-0.759926,0.415764,24
-2.41483,21.51,22.4092,-0.408711,0.882453,0.232878,18
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
102.406,5.74006,68.7282,0.741653,0.366449,0.561841,66
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-15.0736,-29.0022,33.3806,-0.358807,-0.81127,0.461625,26
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
102.406,5.74006,68.7282,0.741653,0.366449,0.561841,66
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-3.89789,25.1881,22.8347,-0.332381,0.943099,-0.00928676,20
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-5.60495,28.779,23.1519,-0.507573,0.846879,0.158636,22
69.8544,-18.5724,60.2804,0.423035,-0.906072,0.0086133,52
-16.8627,-31.8982,35.4594,-0.522505,-0.637124,0.566622,28
-19.0372,-34.718,37.2565,-0.556841,-0.758668,0.338157,30
71.4416,-22.1967,59.7763,0.368706,-0.896257,-0.246534,54
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-20.9895,-38.0536,38.2419,-0.420516,-0.89296,0.160591,32
-7.53358,32.1566,24.0807,-0.477534,0.843731,0.245111,24
-9.84068,35.1971,25.239,-0.660344,0.676179,0.32669,26
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-23.144,-41.3669,38.7795,-0.639712,-0.760815,0.109216,34
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
-25.8875,-44.1284,39.6494,-0.720205,-0.619077,0.313126,36
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
114.665,2.12989,80.051,0.802934,-0.298568,0.515901,74.5
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-28.4188,-47.0034,40.7611,-0.546813,-0.801205,0.243034,38
-30.9074,-49.8533,42.0235,-0.683614,-0.624413,0.377863,40
-33.8941,-51.894,43.7042,-0.795626,-0.401205,0.453887,42
-37.2684,-52.9849,45.5298,-0.877823,-0.153431,0.453747,44
72.2441,-24.2085,59.4017,0.360357,-0.926751,-0.106186,55.1
102.406,5.74006,68.7282,0.741653,0.366449,0.561841,66
-10.35,35.7561,25.4996,-0.622282,0.712091,0.325101,26.4
-40.9662,-53.7053,46.84,-0.956613,-0.202271,0.209708,46
114.669,3.50234,80.1525,0.81965,0.182088,0.543156,74.5
-44.693,-54.9958,47.4353,-0.899017,-0.428114,0.0921256,48
